name,type,scale_factor,address,send_to_server
Tank Level,sint16,1,40,1
Array 1 Status Code,sint16,1,1,0
Array 2 Status Code,sint16,1,2,0
Array 1 Red Alarm,sint16,1,3,0
Array 2 Red Alarm,sint16,1,5,0
SCADA Arrays,sint16,1,100,0
Array 1 Blue Alarm,sint16,1,4,0
Array 2 Blue Alarm,sint16,1,6,0
AE-02-A Permeate Conductivity,sint16,1,57,1
AE-02-B Permeate Conductivity,sint16,1,58,1
Array A-B Prefilter Differential Pressure,sint16,1,43,1
Blended Product Conductivity,sint16,1,59,1
PT-01-A-B Prefilter Inlet Pressure,sint16,1,41,1
PT-01-A-B Prefilter Outlet Pressure,sint16,1,42,1
PT-03-A Concentrate Pressure,sint16,1,49,1
PT-03-B Membrane Feed Pressure,sint16,1,48,1
